
 20230506	22:40:39 	862cdaff-b652-4b98-b55d-d04b8f9d94e9 	/	GET 
 20230506	22:40:39 	a0424f25-6331-4723-88b1-ad48291c2892 	/public/style.css	GET 
 20230506	22:40:39 	b6433d9f-c72d-4cb4-ab90-69109b9a542f 	/public/rubber-duck.png	GET 
 20230506	22:40:39 	c569a02f-afa8-4bcb-a42f-90cedb5480db 	/favicon.ico	GET 
 20230506	22:42:25 	5f78e6bb-dd49-4cbb-b97d-453eb31268ed 	/	GET 
 20230506	22:43:36 	535638e4-b196-42b6-b329-734560e1366c 	/	GET 
 20230506	22:43:36 	dc155518-ae2d-4e54-b790-eedacf5d1fe1 	/public/style.css	GET 
 20230506	22:43:36 	12384d23-c48a-44a8-8d04-c6848ca6cf49 	/public/rubber-duck.png	GET 
 20230506	22:59:43 	a44f976c-ece3-4545-8bbd-b8518129794b 	/about	GET 
 20230506	22:59:43 	a8281aab-2e65-4582-bbc3-4143931d65fe 	/style.css	GET 
 20230506	23:02:01 	6752a5c3-2400-4306-8b9c-c8f99e8a419d 	/about	GET 
 20230506	23:02:01 	ea3de8ee-380d-448e-a1ed-d1e39eed376c 	/public/style.css	GET 
 20230506	23:02:17 	fa8760d9-31c1-454f-99a0-8e887ba66388 	/	GET 
 20230506	23:02:17 	a2df0d72-195a-4c98-a51c-5cc1069a526d 	/public/style.css	GET 
 20230506	23:02:17 	45e09e68-e339-43f2-b457-30f0ea60a679 	/public/rubber-duck.png	GET 
 20230506	23:03:00 	216af1eb-36b7-45db-b623-a449af56fdba 	/public/style.css	GET 
 20230506	23:03:08 	556d429a-7a11-4896-ba1f-689a65752f0d 	/about	GET 
 20230506	23:03:08 	09ee9fce-f2b1-4310-8cbf-34d19c1106de 	/public/style.css	GET 
 20230506	23:03:39 	7c704885-2cfe-48c9-b12f-eeed210fb4a1 	/public/style.css	GET 
 20230506	23:03:41 	a809af53-b42c-4ec4-a6ab-ad90a9db9643 	/	GET 
 20230506	23:03:41 	6d2375d6-92cc-46f2-85ab-00039e016594 	/public/style.css	GET 
 20230506	23:03:41 	d496436b-6b18-4b38-9585-3ecf4d555a31 	/public/rubber-duck.png	GET 
 20230614	20:00:10 	90c9b9f0-70b1-4cfb-98cc-6f54ed408d8a 	/	GET 
 20230614	20:00:10 	d71c000c-b1de-4475-9712-da0c6a0dd93b 	/style.css	GET 
 20230614	20:00:10 	c1383b3f-6d63-4c36-921e-79482d721af0 	/script.js	GET 
 20230614	20:00:10 	ce23b098-8e33-4286-a131-e8ae3cf2d7d4 	/images/fish_2.jpg	GET 
 20230614	20:00:10 	69d72ddc-6322-4319-9a10-3e8f23a0d92e 	/images/meat.jpg	GET 
 20230614	20:00:10 	9b96be6b-3b98-46ab-af54-e55426aa030e 	/images/vegetarian.jpg	GET 
 20230614	20:00:10 	b2e4b07f-5f8e-4b80-9278-87d96cd0fb91 	/images/dairy.jpg	GET 
 20230614	20:00:10 	c0a1eca9-0c5e-413c-831e-c6d849f2f861 	/images/fruit_and_veg.jpg	GET 
 20230614	20:00:10 	473421a2-4196-493b-9e46-9fb35393c8ce 	/images/bakery.jpg	GET 
 20230614	20:00:10 	5144c072-72cd-401e-b4c6-faab92393f5e 	/images/pastry.jpg	GET 
 20230614	20:00:10 	e8a92adc-25e5-46b2-8d6d-74a430552dbe 	/images/hot_drinks.jpg	GET 
 20230614	20:00:10 	11bf8e01-481b-4e4b-839b-3efc9a7b7783 	/images/cold_drinks.jpg	GET 
 20230614	20:00:10 	ebb993da-6d5c-4bf2-9554-7c3c1696906c 	/images/alcohol_1.jpg	GET 
 20230614	20:00:10 	83841311-8db1-4603-aadd-855d7ed1ab35 	/images/toiletries.jpg	GET 
 20230614	20:00:10 	9c92e032-5af2-4027-9854-3ee1d59d41bf 	/images/cleaning.jpg	GET 
 20230614	20:00:10 	56ff2eae-b118-4b80-96e3-91536b9885db 	/images/misc.jpg	GET 
 20230614	20:00:10 	222bef7f-53df-484f-a34d-80138758240b 	/home_icon.png	GET 
 20230614	20:00:10 	34f99c63-9a74-4c0e-a704-fab88b1d014e 	/back_arrow_2.png	GET 
 20230614	20:00:10 	2c9de2e5-48e4-4d38-9ab1-3ede8e34bd92 	/id.js	GET 
 20230614	20:00:10 	53373271-1fea-4a8f-8fb7-f9c31de6452b 	/shopping.json	GET 
 20230614	20:00:10 	c2d0cfdb-52de-4bcc-969e-c0aeac758eee 	/add_icon.png	GET 
 20230614	20:00:10 	4a11eb56-518a-4353-b858-dc6d60fe318d 	/save_icon.jpg	GET 
 20230614	20:00:10 	c995755d-fa08-4ef0-80ef-3dbb9c0b919d 	/upload_icon.png	GET 
 20230614	20:00:10 	d788b218-2080-4181-8c47-3652816e666c 	/favicon.ico	GET 
 20230614	20:01:00 	82f302e2-4bb0-4748-ab79-32b24c5e9169 	/	GET 
 20230614	20:01:00 	c1f66993-78a7-4472-9cc2-7e1f611c854b 	/style.css	GET 
 20230614	20:01:00 	2193b6d5-2fc1-4a66-bc77-0e009ba8a9de 	/script.js	GET 
 20230614	20:01:00 	7bc42d7b-6f1d-43ca-bd18-a4ab2641e65c 	/images/fish_2.jpg	GET 
 20230614	20:01:00 	7cc87b23-d486-4e0e-918f-9045d66dce6a 	/images/meat.jpg	GET 
 20230614	20:01:00 	4e320f61-59aa-4fa0-a6ab-287340816e91 	/images/vegetarian.jpg	GET 
 20230614	20:01:00 	142aa286-1519-4bb8-a819-6666dc50c187 	/images/dairy.jpg	GET 
 20230614	20:01:00 	72d0636a-a618-4e8d-b787-b5c2bdc29c54 	/images/fruit_and_veg.jpg	GET 
 20230614	20:01:00 	10b5f95b-aeff-4107-8b21-2956e41832f5 	/images/bakery.jpg	GET 
 20230614	20:01:00 	42a2fd80-0c52-4b8d-a597-b69184962127 	/id.js	GET 
